,0
264,-3.5303938584699983
265,-1.8766480125921707
266,-2.8481721547716834
267,-2.284857379651221
268,-1.6908128803178193
269,-3.758323772124683
270,-1.4820071588403565
271,-2.388023691751291
272,-3.3616945612564844
273,-1.678795452470484
274,-2.1316944220951655
275,-3.183526658375163
276,-0.4666365026713618
277,-1.5919845615782473
278,0.33914476662640225
279,1.3370555385949157
280,-3.5521890314364617
281,-3.5344264266640746
282,-4.290793429642691
283,-4.117509560779854
284,-3.599212747687152
285,-3.342043778207379
286,-3.384737349534963
287,-5.421812033962762
288,-2.9953762545655733
289,-5.227164675432067
290,-6.42801036018056
291,-6.014584416924633
292,-5.104044892526574
293,-3.725924478007118
294,-4.472921749462686
295,-3.7097074729184225
296,-3.734415489668911
297,-4.02319129192396
298,-5.029526326856252
299,-3.920373180089625
300,-4.134221442033248
301,-2.880794174639503
302,-3.4933039631505576
303,-4.536806667909413
304,-3.6083948126167105
305,-3.9332331813161825
306,-3.5430778857998018
307,-4.1436333472701055
308,-3.9084798719269562
309,-4.819919226833415
310,-2.971503247205631
311,-4.149317087462899
312,-3.4412312753710173
313,-3.844640987144977
314,-2.4396971938207956
315,-5.371520862123569
316,-2.8928887782538375
317,-3.6838715605181505
318,-3.826765903306449
319,-5.154903163441873
320,-4.37413598861217
321,-4.000584670498547
322,-3.4496616008780423
323,-5.230491205640905
324,-4.845257018960886
325,-3.31296387936277
326,-4.85070717716537
327,-3.9794212694898077
328,-3.9803589925687914
329,-4.534347299506161
330,-4.272881694239376
331,-4.09368185782419
332,-3.3813563297166094
333,-5.366331734441091
334,-4.260437412795408
335,-4.228625373488304
336,-4.238598397936885
337,-3.5116483892067523
338,-4.2052535796966675
339,-4.009290757959854
340,-5.162122353033551
341,-4.112256751137528
342,-3.5734160486994684
343,-4.107583559066224
344,-4.5712992176584475
345,-4.043299309809138
346,-3.3887301249770916
347,-4.2700428238868735
348,-6.311819217303885
349,-4.078231530978337
350,-3.4601468612398563
351,-4.4526119845803205
352,-3.270210431987121
353,-3.4053301763072747
354,-4.767205413252907
355,-4.138656639198146
356,-4.376692383678865
357,-3.6243844970485535
358,-4.380678098490262
359,-4.417196364434439
360,-4.104861936173788
361,-3.5422632977054
362,-4.408563409533866
363,-4.642918488995697
364,-3.65102100293747
365,-3.2001791607515546
366,-3.2748998746672817
367,-4.140168401119682
368,-4.815496982226131
369,-3.8913012525888586
370,-4.922604807796204
371,-4.503055425602273
372,-4.433756109256606
373,-3.3491816916417063
374,-5.219637459511631
375,-2.929052869533423
376,-1.0773121112652086
377,-2.8533424442478514
378,-2.9921600764813
379,-1.2767803141393397
380,-2.812336536686226
381,-2.0596287473322326
382,-2.07236490307747
383,-1.079557895364064
384,-2.5071457493843807
385,-2.2666473750560323
386,-2.0524995005738784
387,-0.9988211241342071
388,0.6985703812865308
389,1.8508581349171032
390,-3.6629251365997226
391,-3.654892805740876
392,-5.288296873407675
393,-3.6284505576124513
394,-4.027650635501066
395,-4.841824646890695
396,-4.055762552237431
397,-4.420987848207522
398,-4.704778562631696
399,-4.296493014483469
400,-4.56630386506895
401,-4.095545188856479
402,-3.5470810393465606
403,-6.380852076821316
404,-3.264850976206192
405,-3.790754468658755
406,-3.329667304337088
407,-5.127713197650612
408,-4.688603887220485
409,-4.012457831262946
410,-3.6830725277739074
411,-4.51251402092948
412,-3.9203796568267855
413,-3.7324334395177035
414,-3.548300333868677
415,-3.7529310298982743
416,-3.36424670757419
417,-3.61424679071851
418,-3.718731052832705
419,-5.484412502961654
420,-3.5634282987975676
421,-3.294704455735179
422,-3.5730223972908934
423,-4.070858051752065
424,-3.441785380075689
425,-5.530788255086298
426,-4.520951430005206
427,-3.21276060424888
428,-5.176575586085418
429,-3.46946687499483
430,-3.459602246693148
431,-3.8604720846435
432,-3.160276079027394
433,-3.613076068021619
434,-2.1772877322091015
435,-2.46707116577417
436,-3.7814357653751394
437,-2.5042923558637082
438,-2.3799695304076263
439,-1.776603629066153
440,-1.7211063200582006
441,-2.9267228659345563
442,-1.8544927926565817
443,-2.752991878990269
444,-1.8173559964059887
445,-2.42025425961695
446,-0.7175263444179679
447,2.9618117677871694
448,-5.267758679271079
449,-5.829986044738212
450,-3.4791494477282314
451,-4.7707870649499
452,-4.140209293118588
453,-4.849964202172147
454,-3.6228537812167803
455,-4.165748200970931
456,-4.568270553200876
457,-5.405170098364172
458,-5.4007961761516565
459,-5.268539649893347
460,-3.753591760828488
461,-3.806923443518185
462,-3.50896512744111
463,-3.5404926203907534
464,-4.4079778155748714
465,-3.94016032758352
466,-4.490285728393245
467,-4.338838236882447
468,-4.353663211601175
469,-3.7442299010887363
470,-2.9592411397061635
471,-2.7893953636979325
472,-2.8830560344023555
473,-3.415809962155639
474,-2.8282231315788966
475,-4.919694368949567
476,-4.9855635256819735
477,-5.154832360563647
478,-4.143164972711823
479,-3.0752240689575503
480,-3.3031162875246745
481,-4.6666835209707145
482,-3.444401868543637
483,-5.379460500410868
484,-4.341668090191277
485,-4.91400060789001
486,-2.5977713942944165
487,-3.784174436143042
488,-3.111823250404629
489,-5.049415038811643
490,-4.884858671409179
491,-3.627239300220362
492,-3.817896081341569
493,-3.757858454613768
494,-5.182853472508792
495,-2.6609714260171278
496,-5.051806328100371
497,-3.744643872451848
498,-3.079743234286735
499,-4.01035112764896
500,-4.265970187876259
501,-2.9037687658694926
502,-3.760074638197716
503,-3.472389020979699
504,-3.976506320819955
505,-4.873915518276464
506,-3.8205442917584143
507,-5.289317563482319
508,-3.5354391617419383
509,-4.183158136595305
510,-3.507090139060211
511,-3.6107016900910036
512,-2.6051525433311764
513,-3.518173772800841
514,-2.178810549335615
515,-2.751211583385729
516,-3.9702930026214673
517,-3.5162296688692445
518,-3.246233613962857
519,-3.0575472827852437
520,-3.179585463139939
521,-2.2101904635293916
522,-0.7196263858377581
523,-4.517576926958273
524,-3.7470795653062465
525,-4.483374957663026
526,-4.464942514210195
527,-4.121956122845372
528,-3.755773086585486
529,-3.9383402587460337
